book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
uber-die-spezielle-und-die-allgemeine-relativitatstheorie__albert-einstein__1917,Über die spezielle und die allgemeine Relativitätstheorie,Albert Einstein,1955,false,1917,openlibrary,https://openlibrary.org/works/OL1214190W,en,"author death year from Wikidata (Q937); PD via life+70 rule (death year 1955 + 71 <= 2026), independent of publication year"
mein-weltbild__albert-einstein__1934,Mein Weltbild,Albert Einstein,1955,false,1934,openlibrary,https://openlibrary.org/works/OL1214254W,en,"author death year from Wikidata (Q937); PD via life+70 rule (death year 1955 + 71 <= 2026), independent of publication year"
out-of-my-later-years__albert-einstein__1950,Out of my later years,Albert Einstein,1955,false,1950,openlibrary,https://openlibrary.org/works/OL1214252W,en,"author death year from Wikidata (Q937); PD via life+70 rule (death year 1955 + 71 <= 2026), independent of publication year"
manifest-der-kommunistischen-partei__karl-marx__1848,Manifest der Kommunistischen Partei,Karl Marx,1883,false,1848,openlibrary,https://openlibrary.org/works/OL629052W,en,"author death year from Wikidata (Q9061); PD via life+70 rule (death year 1883 + 71 <= 2026), independent of publication year"
das-kapital__karl-marx__1867,Das Kapital,Karl Marx,1883,false,1867,openlibrary,https://openlibrary.org/works/OL628450W,en,"author death year from Wikidata (Q9061); PD via life+70 rule (death year 1883 + 71 <= 2026), independent of publication year"
the-gettysburg-address__abraham-lincoln__1883,The Gettysburg Address,Abraham Lincoln,1865,false,1883,openlibrary,https://openlibrary.org/works/OL64760W,en,"author death year from Wikidata (Q91); PD via life+70 rule (death year 1865 + 71 <= 2026), independent of publication year"
the-writings-of-abraham-lincoln__abraham-lincoln__1888,The writings of Abraham Lincoln,Abraham Lincoln,1865,false,1888,openlibrary,https://openlibrary.org/works/OL7972888W,en,"author death year from Wikidata (Q91); PD via life+70 rule (death year 1865 + 71 <= 2026), independent of publication year"
life-and-works-of-abraham-lincoln__abraham-lincoln__1907,Life and works of Abraham Lincoln,Abraham Lincoln,1865,false,1907,openlibrary,https://openlibrary.org/works/OL72814W,en,"author death year from Wikidata (Q91); PD via life+70 rule (death year 1865 + 71 <= 2026), independent of publication year"
freedom-s-battle__mahatma-gandhi__unk,Freedom's Battle,Mahatma Gandhi,1948,false,,openlibrary,https://openlibrary.org/works/OL34613980W,en,"author death year from Wikidata (Q1001); PD via life+70 rule (death year 1948 + 71 <= 2026), independent of publication year; publication year (2012) discarded as implausible (>50 years after author's death, likely a modern reprint/collected edition); needs manual research"
third-class-in-indian-railways__mahatma-gandhi__unk,Third Class in Indian Railways,Mahatma Gandhi,1948,false,,openlibrary,https://openlibrary.org/works/OL37824921W,en,"author death year from Wikidata (Q1001); PD via life+70 rule (death year 1948 + 71 <= 2026), independent of publication year; publication year (2012) discarded as implausible (>50 years after author's death, likely a modern reprint/collected edition); needs manual research"
also-sprach-zarathustra__friedrich-nietzsche__1883,Also sprach Zarathustra,Friedrich Nietzsche,1900,false,1883,openlibrary,https://openlibrary.org/works/OL98130W,en,"author death year from Wikidata (Q9358); PD via life+70 rule (death year 1900 + 71 <= 2026), independent of publication year"
jenseits-von-gut-und-bose__friedrich-nietzsche__1885,Jenseits von Gut und Böse,Friedrich Nietzsche,1900,false,1885,openlibrary,https://openlibrary.org/works/OL98174W,en,"author death year from Wikidata (Q9358); PD via life+70 rule (death year 1900 + 71 <= 2026), independent of publication year"
der-antichrist__friedrich-nietzsche__1895,Der Antichrist,Friedrich Nietzsche,1900,false,1895,openlibrary,https://openlibrary.org/works/OL15692719W,en,"author death year from Wikidata (Q9358); PD via life+70 rule (death year 1900 + 71 <= 2026), independent of publication year"
unknown__fyodor-dostoyevsky__1866,Преступление и наказание,Fyodor Dostoyevsky,1881,false,1866,openlibrary,https://openlibrary.org/works/OL166894W,en,"author death year from Wikidata (Q991); PD via life+70 rule (death year 1881 + 71 <= 2026), independent of publication year"
unknown__fyodor-dostoyevsky__1864,Записки изъ подполья,Fyodor Dostoyevsky,1881,false,1864,openlibrary,https://openlibrary.org/works/OL21025633W,en,"author death year from Wikidata (Q991); PD via life+70 rule (death year 1881 + 71 <= 2026), independent of publication year"
unknown__fyodor-dostoyevsky__1874,Идиот,Fyodor Dostoyevsky,1881,false,1874,openlibrary,https://openlibrary.org/works/OL166925W,en,"author death year from Wikidata (Q991); PD via life+70 rule (death year 1881 + 71 <= 2026), independent of publication year"
adventures-of-huckleberry-finn__mark-twain__1876,Adventures of Huckleberry Finn,Mark Twain,1910,false,1876,openlibrary,https://openlibrary.org/works/OL53908W,en,"author death year from Wikidata (Q7245); PD via life+70 rule (death year 1910 + 71 <= 2026), independent of publication year"
the-adventures-of-tom-sawyer__mark-twain__1817,The Adventures of Tom Sawyer,Mark Twain,1910,false,1817,openlibrary,https://openlibrary.org/works/OL53919W,en,"author death year from Wikidata (Q7245); PD via life+70 rule (death year 1910 + 71 <= 2026), independent of publication year"
a-connecticut-yankee-in-king-arthur-s-court__mark-twain__1889,A Connecticut Yankee in King Arthur's Court,Mark Twain,1910,false,1889,openlibrary,https://openlibrary.org/works/OL54031W,en,"author death year from Wikidata (Q7245); PD via life+70 rule (death year 1910 + 71 <= 2026), independent of publication year"
a-christmas-carol__charles-dickens__1843,A Christmas Carol,Charles Dickens,1870,false,1843,openlibrary,https://openlibrary.org/works/OL32466W,en,"author death year from Wikidata (Q5686); PD via life+70 rule (death year 1870 + 71 <= 2026), independent of publication year"
oliver-twist__charles-dickens__1822,Oliver Twist,Charles Dickens,1870,false,1822,openlibrary,https://openlibrary.org/works/OL8193478W,en,"author death year from Wikidata (Q5686); PD via life+70 rule (death year 1870 + 71 <= 2026), independent of publication year"
